0.002739726,2530,18.63,0.32
0.002739726,2540,9.46,0.95
0.002739726,2550,2.38,4
0.002739726,2560,0.35,12.3
0.002739726,2570,0.08,19.78
0.021917808,2530,22.86,4.95
0.021917808,2540,14.5,6.32
0.021917808,2550,8.6,9.67
0.021917808,2560,4.3,17.3
0.021917808,2570,2.2,20.2
0.054794521,2530,29.9,9.8
0.054794521,2540,22.5,12.6
0.054794521,2550,14.9,15.75
0.054794521,2560,9.7,21.6
0.054794521,2570,5.7,26.1
0.093150685,2530,33.56,18.2
0.093150685,2540,27.32,19.4
0.093150685,2550,22.92,26
0.093150685,2560,15.9,29.1
0.093150685,2570,10.8,30
0.180821918,2530,47.5,33.1
0.180821918,2540,40.78,34.4
0.180821918,2550,35.1,39.4
0.180821918,2560,30.03,42.3
0.180821918,2570,24.45,47.7
